time,GB_Pos,GB_Neg,GB_Neu,GB_Total,US_Pos,US_Neg,US_Neu,US_Total,JP_Pos,JP_Neg,JP_Neu,JP_Total
2019-01-07 16:53:00.527000,2,0,0,2,0,0,7,7,0,0,0,0
2019-01-07 16:53:31.875000,0,0,2,2,1,1,1,3,0,0,3,3
2019-01-07 16:53:39.078000,1,0,3,4,2,0,3,5,0,0,0,0
2019-01-07 16:53:45.157000,1,0,3,4,8,0,4,12,1,0,0,1
2019-01-07 16:53:50.599000,1,1,0,2,2,1,2,5,1,0,0,1
2019-01-07 16:53:55.679000,2,0,2,4,4,1,3,8,0,0,0,0
2019-01-07 16:54:01.373000,2,0,0,2,5,1,5,11,0,0,0,0
2019-01-07 16:54:06.492000,1,1,0,2,2,1,2,5,0,0,0,0
2019-01-07 16:54:11.752000,0,1,1,2,5,2,1,8,0,0,0,0
2019-01-07 16:54:16.975000,1,1,1,3,3,0,2,5,0,0,2,2
2019-01-07 16:54:22.176000,1,1,4,6,1,1,4,6,0,0,0,0
2019-01-07 16:54:27.224000,4,1,1,6,9,0,5,14,0,0,2,2
2019-01-07 16:54:33.819000,1,0,0,1,0,1,3,4,0,0,1,1
2019-01-07 16:54:38.952000,1,2,1,4,2,0,4,6,1,0,1,2
2019-01-07 16:54:44.435000,1,1,1,3,1,2,5,8,0,0,0,0
2019-01-07 16:54:49.658000,2,1,1,4,3,0,3,6,0,0,1,1
2019-01-07 16:54:57.862000,2,1,2,5,3,1,2,6,0,0,1,1
2019-01-07 16:55:03.268000,1,0,2,3,0,0,5,5,0,0,0,0
2019-01-07 16:55:08.700000,0,1,1,2,4,1,4,9,0,0,0,0
2019-01-07 16:55:14.548000,4,0,3,7,1,1,1,3,0,0,2,2
2019-01-07 16:55:20.304000,2,0,0,2,6,1,2,9,0,0,2,2
2019-01-07 16:55:25.773000,1,0,0,1,1,0,1,2,0,0,1,1
2019-01-07 16:55:31.049000,1,0,2,3,2,0,0,2,0,0,2,2
2019-01-07 16:55:36.063000,4,2,6,12,3,1,0,4,0,0,1,1
2019-01-07 16:55:41.388000,2,0,2,4,1,0,5,6,0,0,1,1
2019-01-07 16:55:46.696000,4,1,2,7,0,1,1,2,0,0,2,2
2019-01-07 16:55:52.586000,1,0,1,2,2,1,1,4,0,0,1,1
2019-01-07 16:55:58.445000,0,0,2,2,4,1,5,10,0,0,2,2
2019-01-07 16:56:04.126000,2,1,0,3,4,1,2,7,0,0,4,4
2019-01-07 16:56:09.590000,0,0,0,0,3,0,5,8,0,0,0,0
2019-01-07 16:56:14.938000,1,1,1,3,2,0,2,4,0,0,0,0
2019-01-07 16:56:20.035000,1,0,2,3,2,0,3,5,0,0,2,2
2019-01-07 16:56:25.039000,0,1,2,3,2,0,2,4,0,0,3,3
2019-01-07 16:56:30.622000,0,0,0,0,5,0,4,9,0,0,2,2
2019-01-07 16:56:35.638000,1,0,1,2,2,0,3,5,0,0,0,0
2019-01-07 16:56:42.766000,1,2,2,5,2,0,4,6,0,0,0,0
2019-01-07 16:56:48.238000,2,1,2,5,6,1,1,8,0,0,1,1
2019-01-07 16:56:54.482000,1,0,3,4,2,3,5,10,0,0,1,1
2019-01-07 16:56:59.821000,0,0,4,4,1,0,4,5,0,0,3,3
2019-01-07 16:57:04.910000,4,1,0,5,2,3,5,10,0,0,2,2
2019-01-07 16:57:10.814000,1,0,2,3,1,1,4,6,0,0,1,1
2019-01-07 16:57:16.508000,2,1,0,3,4,2,4,10,0,0,1,1
2019-01-07 16:57:21.869000,2,1,3,6,3,2,2,7,0,0,2,2
2019-01-07 16:57:26.939000,2,0,5,7,2,0,8,10,0,0,1,1
2019-01-07 16:57:32.788000,0,0,2,2,4,0,2,6,0,0,1,1
2019-01-07 16:57:37.868000,1,1,1,3,3,1,6,10,0,0,1,1
2019-01-07 16:57:43.360000,3,0,3,6,4,0,5,9,0,0,2,2
2019-01-07 16:57:48.454000,1,0,0,1,1,1,4,6,0,0,0,0
2019-01-07 16:57:53.538000,2,0,2,4,0,0,4,4,0,0,2,2
2019-01-07 16:57:59.049000,1,1,2,4,3,0,0,3,0,0,0,0
2019-01-07 16:58:04.240000,4,0,2,6,2,1,3,6,0,0,1,1
2019-01-07 16:58:09.971000,0,0,1,1,2,1,2,5,0,0,3,3
2019-01-07 16:58:15.024000,0,0,1,1,4,3,2,9,0,0,2,2
2019-01-07 16:58:20.166000,0,1,7,8,1,0,4,5,0,0,1,1
2019-01-07 16:58:25.751000,1,1,1,3,3,0,5,8,0,0,1,1
2019-01-07 16:58:30.754000,2,0,4,6,4,2,2,8,0,0,3,3
2019-01-07 16:58:35.877000,0,1,4,5,4,0,2,6,0,0,1,1
2019-01-07 16:58:41.254000,0,2,3,5,1,3,5,9,0,0,1,1
2019-01-07 16:58:46.441000,1,0,1,2,3,0,2,5,0,0,2,2
2019-01-07 16:58:51.516000,1,0,1,2,1,1,1,3,0,0,1,1
2019-01-07 16:58:56.530000,3,1,3,7,2,0,1,3,0,0,2,2
2019-01-07 16:59:01.712000,2,0,2,4,0,1,1,2,1,0,0,1
2019-01-07 16:59:06.807000,2,2,2,6,2,1,3,6,0,0,1,1
2019-01-07 16:59:12.272000,1,2,3,6,6,0,2,8,0,0,0,0
2019-01-07 16:59:17.589000,1,1,1,3,2,0,5,7,0,0,1,1
2019-01-07 16:59:22.613000,2,1,3,6,5,0,3,8,0,0,0,0
2019-01-07 16:59:27.618000,3,0,1,4,1,2,6,9,0,0,2,2
2019-01-07 16:59:33.378000,1,1,5,7,2,0,4,6,0,0,0,0
2019-01-07 16:59:39.285000,3,1,3,7,2,0,3,5,0,0,2,2
2019-01-07 16:59:44.739000,5,1,6,12,5,2,4,11,0,0,0,0
2019-01-07 16:59:49.928000,0,0,0,0,1,4,8,13,0,0,1,1
2019-01-07 16:59:55.171000,3,0,1,4,1,1,5,7,0,0,0,0
2019-01-07 17:00:00.274000,3,0,4,7,1,0,3,4,0,0,6,6
2019-01-07 17:00:05.379000,1,0,4,5,2,1,1,4,0,0,2,2
2019-01-07 17:00:10.420000,3,0,5,8,2,0,4,6,0,0,0,0
2019-01-07 17:00:15.616000,2,0,4,6,5,1,5,11,0,0,0,0
2019-01-07 17:00:20.826000,2,1,4,7,1,1,5,7,0,0,1,1
2019-01-07 17:00:26.020000,1,1,2,4,4,1,6,11,0,0,0,0
2019-01-07 17:00:31.120000,0,1,2,3,0,0,5,5,0,0,0,0
2019-01-07 17:00:36.990000,0,1,3,4,1,2,6,9,0,0,2,2
2019-01-07 17:00:42.236000,1,1,4,6,3,0,3,6,0,0,0,0
2019-01-07 17:00:47.403000,0,0,3,3,3,2,5,10,0,0,3,3
2019-01-07 17:00:52.978000,0,1,1,2,4,2,1,7,0,0,0,0
2019-01-07 17:00:58.036000,1,0,2,3,2,0,3,5,0,0,3,3
2019-01-07 17:01:03.208000,4,0,4,8,4,2,2,8,0,0,1,1
2019-01-07 17:01:08.482000,2,1,0,3,3,1,1,5,0,0,1,1
2019-01-07 17:01:13.972000,0,0,5,5,1,0,8,9,1,0,1,2
2019-01-07 17:01:19.132000,1,2,1,4,3,2,0,5,1,0,0,1
2019-01-07 17:01:26.044000,1,0,0,1,2,0,10,12,0,0,0,0
2019-01-07 17:01:31.090000,4,0,1,5,3,0,6,9,0,0,1,1
2019-01-07 17:01:36.122000,0,2,3,5,2,1,4,7,0,0,6,6
2019-01-07 17:01:41.394000,0,0,1,1,1,2,4,7,0,0,5,5
2019-01-07 17:01:46.624000,1,2,1,4,1,0,3,4,0,0,1,1
2019-01-07 17:01:52.438000,2,1,0,3,3,1,4,8,0,0,2,2
2019-01-07 17:01:57.536000,1,0,3,4,2,3,4,9,0,0,1,1
2019-01-07 17:02:02.781000,0,0,4,4,1,4,2,7,0,0,0,0
2019-01-07 17:02:07.857000,2,0,2,4,8,2,2,12,0,0,0,0
2019-01-07 17:02:13.485000,0,1,2,3,1,1,1,3,0,0,1,1
2019-01-07 17:02:18.539000,0,0,0,0,2,0,6,8,0,0,1,1
2019-01-07 17:02:24.303000,1,1,2,4,3,1,1,5,0,0,2,2
2019-01-07 17:02:29.402000,4,4,2,10,3,0,8,11,0,0,1,1
2019-01-07 17:02:34.646000,0,1,3,4,2,4,5,11,0,0,2,2
2019-01-07 17:02:39.773000,0,0,0,0,4,1,4,9,0,0,0,0
2019-01-07 17:02:45.071000,4,0,1,5,1,0,2,3,0,0,1,1
2019-01-07 17:02:50.083000,4,0,5,9,1,2,6,9,0,0,0,0
2019-01-07 17:02:55.543000,0,0,3,3,3,0,3,6,0,0,3,3
2019-01-07 17:03:00.561000,1,0,2,3,2,1,2,5,0,0,3,3
2019-01-07 17:03:05.636000,1,1,2,4,3,1,1,5,0,0,2,2
2019-01-07 17:03:10.972000,1,0,0,1,4,0,3,7,0,0,2,2
2019-01-07 17:03:16.645000,7,0,2,9,3,2,0,5,0,0,1,1
2019-01-07 17:03:21.910000,2,1,2,5,4,1,1,6,0,0,1,1
2019-01-07 17:03:27.159000,0,0,0,0,3,2,2,7,0,0,0,0
2019-01-07 17:03:32.736000,1,0,1,2,11,2,5,18,0,0,0,0
2019-01-07 17:03:37.888000,1,2,1,4,5,3,5,13,0,0,0,0
2019-01-07 17:03:43.056000,2,0,0,2,6,2,4,12,0,0,2,2
2019-01-07 17:03:49.196000,1,0,1,2,3,0,3,6,0,0,1,1
2019-01-07 17:03:54.198000,1,0,4,5,1,1,2,4,0,0,0,0
2019-01-07 17:03:59.342000,4,1,1,6,0,0,5,5,0,0,3,3
2019-01-07 17:04:04.686000,1,2,5,8,5,0,2,7,0,0,2,2
2019-01-07 17:04:09.749000,1,0,0,1,3,0,5,8,1,0,1,2
2019-01-07 17:04:15.022000,0,0,0,0,4,1,3,8,0,0,2,2
2019-01-07 17:04:20.310000,3,0,5,8,1,3,1,5,0,0,6,6
2019-01-07 17:04:25.484000,1,2,1,4,3,1,5,9,0,0,0,0
2019-01-07 17:04:30.552000,1,2,1,4,3,0,3,6,0,0,1,1
2019-01-07 17:04:36.842000,2,2,1,5,1,1,5,7,0,0,2,2
2019-01-07 17:04:43.140000,1,0,3,4,5,1,4,10,0,0,0,0
2019-01-07 17:04:48.389000,2,0,2,4,2,0,6,8,0,0,0,0
2019-01-07 17:04:53.621000,1,0,4,5,1,1,3,5,0,0,1,1
2019-01-07 17:04:59.779000,2,0,4,6,2,1,6,9,0,0,2,2
2019-01-07 17:05:05.851000,2,0,1,3,1,0,5,6,0,0,1,1
2019-01-07 17:05:11.005000,1,0,0,1,3,1,4,8,1,0,1,2
2019-01-07 17:05:16.206000,1,1,1,3,4,1,2,7,0,0,6,6
2019-01-07 17:05:21.413000,1,0,4,5,2,3,4,9,0,0,0,0
2019-01-07 17:05:26.949000,1,0,0,1,2,0,5,7,0,0,2,2
2019-01-07 17:05:32.569000,3,0,2,5,2,1,1,4,0,0,1,1
2019-01-07 17:05:37.638000,2,2,2,6,2,1,5,8,0,0,0,0
2019-01-07 17:05:42.663000,0,0,3,3,0,0,4,4,0,0,1,1
2019-01-07 17:05:47.951000,0,1,4,5,1,1,2,4,0,0,4,4
2019-01-07 17:05:53.401000,1,0,1,2,1,1,6,8,0,0,2,2
2019-01-07 17:05:59.020000,1,1,1,3,3,0,1,4,0,0,1,1
2019-01-07 17:06:04.516000,5,0,2,7,1,0,4,5,0,0,1,1
2019-01-07 17:06:09.525000,2,0,1,3,2,1,7,10,0,0,1,1
2019-01-07 17:06:14.865000,2,2,3,7,4,0,4,8,0,0,1,1
2019-01-07 17:06:20.988000,1,0,3,4,3,1,2,6,0,0,2,2
2019-01-07 17:06:26.301000,0,0,1,1,1,2,2,5,0,0,2,2
2019-01-07 17:06:31.500000,2,0,3,5,1,1,4,6,0,0,0,0
2019-01-07 17:06:36.673000,1,1,3,5,3,2,4,9,0,0,1,1
2019-01-07 17:06:41.730000,1,1,1,3,5,0,6,11,0,0,1,1
2019-01-07 17:06:47.154000,1,0,2,3,1,0,2,3,0,0,0,0
2019-01-07 17:06:52.161000,1,0,0,1,2,0,5,7,0,0,1,1
2019-01-07 17:06:58.131000,3,1,2,6,2,2,5,9,0,0,1,1
2019-01-07 17:07:03.375000,3,0,3,6,2,1,3,6,0,0,1,1
2019-01-07 17:07:08.639000,1,0,1,2,2,1,3,6,0,0,1,1
2019-01-07 17:07:13.765000,0,0,2,2,1,1,2,4,0,0,1,1
2019-01-07 17:07:18.930000,0,1,1,2,3,0,1,4,0,0,0,0
2019-01-07 17:07:24.772000,2,0,2,4,4,2,5,11,0,0,1,1
2019-01-07 17:07:29.877000,1,0,3,4,1,2,4,7,0,0,1,1
2019-01-07 17:07:35.120000,2,0,0,2,2,2,3,7,0,0,2,2
2019-01-07 17:07:40.251000,1,0,5,6,4,1,1,6,0,0,2,2
2019-01-07 17:07:45.820000,1,1,1,3,2,0,0,2,0,0,1,1
2019-01-07 17:07:51.273000,1,1,2,4,3,0,5,8,0,0,1,1
2019-01-07 17:07:56.274000,0,0,2,2,1,0,1,2,0,0,1,1
2019-01-07 17:08:01.714000,2,0,0,2,1,0,5,6,0,0,2,2
2019-01-07 17:08:07.473000,1,1,0,2,2,0,4,6,0,0,0,0
2019-01-07 17:08:13.083000,3,0,1,4,4,0,3,7,0,0,0,0
2019-01-07 17:08:18.188000,3,1,1,5,6,0,5,11,0,0,1,1
2019-01-07 17:08:24.464000,2,0,2,4,1,0,2,3,0,0,3,3
2019-01-07 17:08:29.527000,1,0,1,2,1,0,3,4,0,0,1,1
2019-01-07 17:08:34.598000,3,1,6,10,1,0,2,3,0,0,1,1
2019-01-07 17:08:39.846000,2,0,1,3,3,1,4,8,0,0,1,1
2019-01-07 17:08:45.480000,3,2,0,5,4,0,4,8,0,0,0,0
2019-01-07 17:08:50.856000,2,0,4,6,3,0,2,5,0,0,0,0
2019-01-07 17:08:56.652000,0,1,1,2,1,1,1,3,0,0,0,0
