time,city,pressure,temperature,descrption
2019-01-09 09:42:15.617000,London,1029,275.78,broken clouds
2019-01-09 09:42:17.703000,New+York,1001,278.7,clear sky
2019-01-09 09:42:19.794000,Tokyo,1023,277.4,few clouds
2019-01-09 09:42:21.861000,London,1029,275.78,broken clouds
2019-01-09 09:42:23.997000,New+York,1001,278.7,clear sky
2019-01-09 09:42:26.127000,Tokyo,1023,277.4,few clouds
2019-01-09 09:42:28.190000,London,1029,275.78,broken clouds
2019-01-09 09:42:30.262000,New+York,1001,278.7,clear sky
2019-01-09 09:42:32.344000,Tokyo,1023,277.4,few clouds
2019-01-09 09:42:34.418000,London,1029,275.78,broken clouds
2019-01-09 09:51:11.511000,London,1029,275.78,broken clouds
2019-01-09 09:51:13.719000,New+York,1001,278.7,clear sky
2019-01-09 09:54:25.526000,London,1029,275.78,broken clouds
2019-01-09 09:54:27.593000,New+York,1001,278.7,clear sky
2019-01-09 09:54:29.663000,Tokyo,1023,276.71,clear sky
2019-01-09 09:54:45.250000,London,1029,275.78,broken clouds
2019-01-09 09:54:47.307000,New+York,1001,278.7,clear sky
2019-01-09 09:54:49.374000,Tokyo,1023,276.71,clear sky
2019-01-09 09:54:51.551000,London,1029,275.78,broken clouds
2019-01-09 09:54:53.612000,New+York,1001,278.7,clear sky
2019-01-09 09:57:22.549000,London,1029,275.78,broken clouds
2019-01-09 09:57:24.635000,New+York,1001,278.7,clear sky
2019-01-09 09:58:11.771000,London,1029,275.78,broken clouds
2019-01-09 09:58:13.826000,New+York,1001,278.7,clear sky
2019-01-09 09:58:15.891000,Tokyo,1023,276.71,clear sky
2019-01-09 09:58:17.962000,London,1029,275.78,broken clouds
2019-01-09 09:58:20.067000,New+York,1001,278.7,clear sky
2019-01-09 09:58:22.139000,Tokyo,1023,276.71,clear sky
2019-01-09 09:58:24.214000,London,1029,275.78,broken clouds
2019-01-09 09:58:26.386000,New+York,1001,278.7,clear sky
2019-01-09 09:58:28.455000,Tokyo,1023,276.71,clear sky
2019-01-09 09:58:34.070000,London,1029,275.78,broken clouds
2019-01-09 10:04:00.987000,London,1029,276.06,shower rain
2019-01-09 10:04:03.111000,New+York,1001,278.7,few clouds
2019-01-09 10:06:36.992000,London,1029,276.06,shower rain
2019-01-09 10:06:39.061000,New+York,1001,278.7,few clouds
2019-01-09 10:06:41.175000,Tokyo,1023,276.71,clear sky
2019-01-09 10:06:43.260000,London,1029,276.06,shower rain
2019-01-09 10:06:45.022000,London,1029,276.06,shower rain
2019-01-09 10:06:45.345000,New+York,1001,278.7,few clouds
2019-01-09 10:06:47.101000,New+York,1001,278.7,few clouds
2019-01-09 10:06:47.769000,Tokyo,1023,276.71,clear sky
2019-01-09 10:06:49.041000,London,1029,276.06,shower rain
2019-01-09 10:06:49.377000,Tokyo,1023,276.71,clear sky
2019-01-09 10:06:50.240000,London,1029,276.06,shower rain
2019-01-09 10:06:52.349000,New+York,1001,278.7,few clouds
2019-01-09 10:06:54.440000,Tokyo,1023,276.71,clear sky
2019-01-09 10:06:56.537000,London,1029,276.06,shower rain
2019-01-09 10:06:58.638000,New+York,1001,278.7,few clouds
2019-01-09 10:07:00.725000,Tokyo,1023,276.71,clear sky
