time,Pos,Neg,Neu,Total
2019-01-10 09:18:38.587000,2,0,0,2
2019-01-10 09:18:44.728000,1,0,2,3
2019-01-10 09:18:50.200000,0,2,5,7
2019-01-10 09:18:55.271000,1,1,0,2
2019-01-10 09:19:08.433000,1,0,3,4
2019-01-10 09:19:13.709000,4,0,4,8
2019-01-10 09:19:19.198000,1,0,5,6
2019-01-10 09:19:24.461000,5,0,3,8
2019-01-10 09:19:29.551000,3,0,1,4
2019-01-10 09:19:34.906000,3,2,0,5
2019-01-10 09:19:41.050000,0,1,3,4
2019-01-10 09:19:47.252000,3,0,2,5
2019-01-10 09:19:52.875000,1,0,3,4
2019-01-10 09:19:58.554000,0,0,2,2
2019-01-10 09:20:03.662000,1,3,0,4
2019-01-10 09:20:11.260000,2,0,6,8
2019-01-10 09:20:16.726000,2,1,2,5
2019-01-10 09:20:22.161000,0,0,3,3
2019-01-10 09:20:27.200000,3,0,2,5
2019-01-10 09:21:43.577000,4,1,1,6
2019-01-10 09:21:48.951000,2,1,4,7
2019-01-10 09:21:54.482000,2,2,0,4
2019-01-10 09:22:00.421000,4,2,1,7
2019-01-10 09:22:05.819000,3,1,3,7
2019-01-10 09:22:10.904000,2,1,5,8
2019-01-10 09:22:16.089000,1,1,1,3
2019-01-10 09:22:21.516000,2,0,3,5
2019-01-10 09:22:26.559000,2,0,0,2
2019-01-10 09:22:32.474000,3,0,3,6
2019-01-10 09:22:42.099000,2,2,1,5
2019-01-10 09:50:42.028000,0,1,0,1
2019-01-10 09:52:40.714000,1,0,5,6
2019-01-10 09:52:47.480000,1,1,3,5
2019-01-10 09:53:06.826000,0,0,0,0
2019-01-10 09:53:16.587000,0,0,0,0
2019-01-10 09:53:17.783000,2,2,2,6
2019-01-10 09:53:21.920000,0,0,0,0
2019-01-10 09:53:25.973000,4,0,0,4
2019-01-10 09:53:28.440000,0,0,0,0
2019-01-10 09:53:31.023000,3,0,0,3
2019-01-10 09:53:35.086000,0,0,0,0
2019-01-10 09:53:37.032000,4,0,1,5
2019-01-10 09:53:41.321000,0,0,0,0
2019-01-10 09:53:42.520000,2,0,1,3
2019-01-10 09:58:38.365000,2,0,2,4
2019-01-10 09:59:04.008000,1,0,0,1
2019-01-10 09:59:10.354000,5,2,3,10
2019-01-10 10:10:22.287000,2,1,1,4
2019-01-10 10:10:27.445000,5,1,1,7
2019-01-10 10:10:32.727000,0,1,0,1
2019-01-10 10:10:39.220000,0,1,0,1
2019-01-10 10:10:46.321000,0,1,0,1
2019-01-10 10:10:51.412000,0,1,0,1
2019-01-10 10:19:12.127000,1,0,3,4
2019-01-10 10:19:17.791000,3,3,4,10
2019-01-10 10:19:45.442000,4,1,10,15
2019-01-10 10:19:51.504000,1,0,2,3
2019-01-10 10:19:56.975000,2,1,3,6
2019-01-10 10:20:02.363000,2,0,1,3
2019-01-10 10:20:08.706000,3,2,2,7
2019-01-10 10:20:13.982000,1,0,3,4
2019-01-10 10:20:54.871000,2,1,1,4
2019-01-10 10:21:00.091000,4,0,3,7
2019-01-10 10:21:06.748000,2,0,0,2
2019-01-10 10:21:12.910000,2,0,1,3
2019-01-10 10:21:19.672000,1,0,4,5
2019-01-10 10:21:25.897000,2,1,1,4
2019-01-10 10:21:31.310000,1,1,1,3
2019-01-10 10:22:26.420000,1,0,1,2
2019-01-10 10:22:32.716000,0,0,1,1
2019-01-10 10:22:38.705000,0,0,1,1
2019-01-10 10:22:41.230000,0,0,3,3
2019-01-10 10:22:44.646000,0,0,1,1
2019-01-10 10:22:47.843000,4,1,3,8
2019-01-10 10:22:50.073000,0,0,1,1
2019-01-10 10:23:48.343000,0,0,1,1
2019-01-10 10:23:53.972000,3,0,4,7
2019-01-10 10:24:32.813000,2,0,3,5
2019-01-10 10:25:42.114000,3,0,2,5
2019-01-10 10:25:47.860000,0,0,2,2
2019-01-10 10:25:53.515000,2,2,1,5
2019-01-10 10:26:09.187000,0,1,1,2
2019-01-10 10:26:14.779000,0,0,4,4
2019-01-10 10:26:19.898000,2,0,2,4
2019-01-10 10:26:25.535000,0,0,3,3
2019-01-10 10:26:30.547000,2,1,2,5
2019-01-10 10:26:35.896000,3,1,0,4
2019-01-10 10:26:42.867000,3,1,0,4
2019-01-10 10:26:50.160000,3,1,0,4
2019-01-10 10:26:58.217000,3,1,0,4
2019-01-10 10:27:03.995000,3,1,0,4
2019-01-10 10:27:10.382000,3,1,0,4
2019-01-10 10:27:17.045000,3,1,0,4
2019-01-10 10:27:22.229000,3,1,0,4
2019-01-10 10:27:29.326000,3,1,0,4
2019-01-10 10:27:36.661000,3,1,0,4
2019-01-10 10:27:42.509000,3,1,0,4
2019-01-10 10:27:48.191000,3,1,0,4
2019-01-10 10:27:54.210000,3,1,0,4
2019-01-10 10:28:01.808000,3,1,0,4
2019-01-10 10:28:09.569000,3,1,0,4
2019-01-10 10:36:20.382000,0,0,0,0
2019-01-10 10:36:27.048000,0,0,0,0
2019-01-10 10:36:32.299000,0,0,0,0
2019-01-10 10:36:37.697000,0,0,0,0
2019-01-10 10:36:43.186000,0,0,0,0
2019-01-10 10:36:48.449000,0,0,0,0
2019-01-10 10:36:53.468000,0,0,0,0
2019-01-10 10:38:10.888000,2,0,1,3
2019-01-10 10:38:18.027000,2,0,1,3
2019-01-10 10:38:23.114000,2,0,1,3
2019-01-10 10:38:31.060000,2,0,1,3
2019-01-10 10:38:37.815000,2,0,1,3
2019-01-10 10:38:43.449000,2,0,1,3
2019-01-10 10:38:48.860000,2,0,1,3
2019-01-10 10:38:54.017000,2,0,1,3
2019-01-10 10:39:00.363000,2,0,1,3
2019-01-10 10:39:05.525000,2,0,1,3
2019-01-10 10:39:11.109000,2,0,1,3
2019-01-10 10:39:16.626000,2,0,1,3
2019-01-10 10:39:25.844000,2,0,1,3
2019-01-10 10:39:31.196000,2,0,1,3
2019-01-10 10:39:36.451000,2,0,1,3
2019-01-10 10:39:42.608000,2,0,1,3
2019-01-10 10:41:41.596000,0,0,0,0
